Domain Code,Domain,Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3308","Iron apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","16.4","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3312","Zinc apparent intake","6209A","Average","mg/cap/d","10.79","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3312","Zinc apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","10.71","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3312","Zinc apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","10.87","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3309","Magnesium apparent intake","6209A","Average","mg/cap/d","480","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3309","Magnesium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","476","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3309","Magnesium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","484","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3310","Phosphorus apparent intake","6209A","Average","mg/cap/d","1294","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3310","Phosphorus apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1284","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3310","Phosphorus apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1303","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3311","Potassium apparent intake","6209A","Average","mg/cap/d","2458","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3311","Potassium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","2441","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3311","Potassium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","2475","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3314","Thiamin apparent intake","6209A","Average","mg/cap/d","1.39","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3314","Thiamin apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1.38","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3314","Thiamin apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1.4","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3315","Riboflavin apparent intake","6209A","Average","mg/cap/d","0.89","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3315","Riboflavin apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","0.88","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3315","Riboflavin apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","0.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3316","Vitamin B6 apparent intake","6209A","Average","mg/cap/d","1.64","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
